Date,MSFT,AAPL,META,AMZN,GOOG
11/11/2020,208.356781,116.7155762,275.183075,156.8695068,87.22237396
12/11/2020,207.2887573,116.4420776,273.7895813,155.5140076,87.07954407
13/11/2020,208.3182678,116.4909058,275.6508789,156.440506,88.43214417
16/11/2020,209.0110321,117.5067673,277.6514282,156.5529938,88.64912415
17/11/2020,206.345871,116.6178894,273.7099915,156.7830048,88.090271
18/11/2020,203.6254272,115.2894516,270.6941833,155.272995,86.92726898
19/11/2020,204.9181213,115.8852921,271.6596985,155.8509979,87.78022766
20/11/2020,202.9598236,114.6154861,268.4348755,154.9700012,86.69885254
23/11/2020,202.6897125,111.2065201,267.1708069,154.9194946,86.33408356
24/11/2020,206.3072662,112.4958725,275.6210022,155.9029999,88.02706146
25/11/2020,206.316925,113.335907,274.2972412,159.2534943,88.15396118
27/11/2020,207.628891,113.8829041,276.5068359,159.7669983,89.23683167
30/11/2020,206.509903,116.2857895,275.6707458,158.4019928,87.62199402
1/12/2020,208.5743103,119.8705673,285.20578,161.0039978,89.48117065
2/12/2020,207.7639618,120.2222061,286.1712646,160.1764984,90.96663666
3/12/2020,206.6738586,120.0854568,280.5278625,159.3365021,90.90792084
4/12/2020,206.7896271,119.4114685,278.38797,158.1289978,90.96862793
7/12/2020,206.7220917,120.8766479,284.240387,157.8999939,90.5451355
8/12/2020,208.3813629,121.4920349,282.0705872,158.864502,90.49885559
9/12/2020,204.3200226,118.9523926,276.616333,155.2100067,88.78596497
10/12/2020,203.0852203,120.3784866,275.8200378,155.0744934,88.34803772
11/12/2020,205.7284393,119.5677719,272.2667542,155.8209991,88.6685257
14/12/2020,206.6352844,118.9523926,272.9038086,157.8484955,87.58815002
15/12/2020,206.5677643,124.9107513,274.2574158,158.2559967,87.97180939
16/12/2020,211.5358582,124.8423843,274.3768921,162.0480042,87.73445129
17/12/2020,211.670929,125.7117081,273.1924438,161.8040009,86.98300171
18/12/2020,210.8702087,123.7191086,275.1034241,160.0825043,86.14248657
21/12/2020,214.7289429,125.2526245,271.510376,160.3090057,86.55850983
22/12/2020,216.0312805,128.8179016,265.8370972,160.326004,85.76876068
23/12/2020,213.2144318,127.91922,266.8522949,159.263504,86.21066284
24/12/2020,214.883316,128.9057922,266.1456299,158.6345062,86.53263855
28/12/2020,217.015274,133.5162048,275.7006226,164.197998,88.38586426
29/12/2020,216.2338562,131.7384338,275.4815979,166.1000061,87.52146149
30/12/2020,213.8510742,130.6151733,270.5946655,164.2924957,86.565979
31/12/2020,214.5649414,129.6091003,271.8786621,162.8464966,87.18106842
4/1/2021,210.0020447,126.4052505,267.6784363,159.3314972,86.0046463
5/1/2021,210.2045746,127.9680634,269.6988831,160.9255066,86.63565826
6/1/2021,204.7541351,123.6604843,262.0748291,156.9190063,86.35548401
7/1/2021,210.5808258,127.8801651,267.4793701,158.1080017,88.9412384
8/1/2021,211.8638306,128.983963,266.3148804,159.1349945,89.93452454
11/1/2021,209.8090668,125.9852142,255.6351776,155.710495,87.91956329
12/1/2021,207.3394928,125.8093872,249.9121552,156.0415039,86.91583252
13/1/2021,208.6996765,127.8508759,250.4595795,158.2944946,87.30648041
14/1/2021,205.4969482,125.9168777,244.4877319,156.3735046,86.59882355
15/1/2021,205.1400146,124.1879349,250.1808929,155.2124939,86.40027618
19/1/2021,208.7961426,124.861908,259.8751831,156.0379944,89.12088013
20/1/2021,216.41716,128.9644165,266.2252808,163.1690063,93.9002533
21/1/2021,217.0249023,133.6920013,271.5899658,165.3495026,94.11671448
22/1/2021,217.9702759,135.8409424,273.2123108,164.611496,94.60440826
25/1/2021,221.4238739,139.6015625,276.7059326,164.6999969,94.52230072
26/1/2021,224.125,139.835968,280.7269287,166.3065033,95.41009521
27/1/2021,224.6748352,138.7615356,270.8634338,161.6289978,91.10796356
28/1/2021,230.4918976,133.9069061,263.7569275,161.8809967,92.71635437
29/1/2021,223.7680817,128.8960419,257.1181946,160.3099976,91.35430145
1/2/2021,231.1864471,131.0254211,260.7809448,167.1439972,94.61933899
2/2/2021,231.0514069,131.8556976,265.8271484,169,95.92118073
3/2/2021,234.4181671,130.8300323,265.3991394,165.6264954,103.0155792
4/2/2021,233.4631195,134.1999359,265.2399292,166.5500031,102.6323853
5/2/2021,233.6464233,133.7841644,266.8423767,167.6074982,104.4054947
8/2/2021,233.9068756,133.9309082,265.3294983,166.1470032,104.1521912
9/2/2021,235.160965,133.0505066,268.1860657,165.25,103.6844025
10/2/2021,234.2445526,132.4440002,270.5946655,164.3289948,104.2750931
11/2/2021,235.855545,132.1896973,269.1216431,163.1065063,104.3004837
12/2/2021,236.3378601,132.4243927,269.2311096,163.885498,104.7095413
16/2/2021,235.0934296,130.2919006,272.6848145,163.4474945,105.5948563
17/2/2021,236.1183472,127.992981,272.2867126,165.4320068,105.9138412
18/2/2021,235.7219238,126.8876038,268.1263428,166.411499,105.3609543
19/2/2021,232.9952393,127.0440979,260.3330383,162.4949951,104.5617523
